FieldID,CodingName,FigureName,Type,Label,Include
23492,cholesteryl_esters_in_very_large_vldl,cholesteryl_esters_in_very_large_vldl,Metabolic,Cholesteryl esters in VL-VLDL,0
23493,free_cholesterol_in_very_large_vldl,free_cholesterol_in_very_large_vldl,Metabolic,Free cholesterol in VL-VLDL,0
23494,triglycerides_in_very_large_vldl,triglycerides_in_very_large_vldl,Metabolic,Triglycerides in VL-VLDL,0
23495,concentration_of_large_vldl_particles,concentration_of_large_vldl_particles,Metabolic,Concentration of L-VLDL particles,0
23496,total_lipids_in_large_vldl,total_lipids_in_large_vldl,Metabolic,Total lipids in L-VLDL,0
23497,phospholipids_in_large_vldl,phospholipids_in_large_vldl,Metabolic,Phospholipids in L-VLDL,0
23498,cholesterol_in_large_vldl,cholesterol_in_large_vldl,Metabolic,Cholesterol in L-VLDL,0
23499,cholesteryl_esters_in_large_vldl,cholesteryl_esters_in_large_vldl,Metabolic,Cholesteryl esters in L-VLDL,0
23500,free_cholesterol_in_large_vldl,free_cholesterol_in_large_vldl,Metabolic,Free cholesterol in L-VLDL,0
23501,triglycerides_in_large_vldl,triglycerides_in_large_vldl,Metabolic,Triglycerides in L-VLDL,0
23502,concentration_of_medium_vldl_particles,concentration_of_medium_vldl_particles,Metabolic,Concentration of M-VLDL particles,0
23503,total_lipids_in_medium_vldl,total_lipids_in_medium_vldl,Metabolic,Total lipids in M-VLDL,0
23504,phospholipids_in_medium_vldl,phospholipids_in_medium_vldl,Metabolic,Phospholipids in M-VLDL,0
23505,cholesterol_in_medium_vldl,cholesterol_in_medium_vldl,Metabolic,Cholesterol in M-VLDL,0
23506,cholesteryl_esters_in_medium_vldl,cholesteryl_esters_in_medium_vldl,Metabolic,Cholesteryl esters in M-VLDL,0
23507,free_cholesterol_in_medium_vldl,free_cholesterol_in_medium_vldl,Metabolic,Free cholesterol in M-VLDL,0
23508,triglycerides_in_medium_vldl,triglycerides_in_medium_vldl,Metabolic,Triglycerides in M-VLDL,0
