FieldID,CodingName,FigureName,Type,Label,Include
23643,triglycerides_to_total_lipids_in_medium_hdl_percentage,triglycerides_to_total_lipids_in_medium_hdl_percentage,Metabolic,Triglycerides : lipids in M-HDL%,0
23644,phospholipids_to_total_lipids_in_small_hdl_percentage,phospholipids_to_total_lipids_in_small_hdl_percentage,Metabolic,Phospholipids : lipids in S-HDL%,0
23645,cholesterol_to_total_lipids_in_small_hdl_percentage,cholesterol_to_total_lipids_in_small_hdl_percentage,Metabolic,Cholesterol : lipids in S-HDL%,0
23646,cholesteryl_esters_to_total_lipids_in_small_hdl_percentage,cholesteryl_esters_to_total_lipids_in_small_hdl_percentage,Metabolic,Cholesteryl esters : lipids in S-HDL%,0
23647,free_cholesterol_to_total_lipids_in_small_hdl_percentage,free_cholesterol_to_total_lipids_in_small_hdl_percentage,Metabolic,Free cholesterol : lipids in S-HDL%,0
23648,triglycerides_to_total_lipids_in_small_hdl_percentage,triglycerides_to_total_lipids_in_small_hdl_percentage,Metabolic,Triglycerides : lipids in S-HDL%,0
24003,no2_2010,no2_2010,Environmental,NO2 2010,1
24004,no_2010,no_2010,Environmental,NO 2010,1
24005,pm10_2010,pm10_2010,Environmental,PM10 2010,1
24006,pm25_2010,pm25_2010,Environmental,PM25 2010,1
30600,albumin,albumin,Biochemistry,Albumin,1
30610,alkaline_phosphatase,alkaline_phosphatase,Biochemistry,Alkaline phosphatase,1
30620,alanine_aminotransferase,alanine_aminotransferase,Biochemistry,Alanine aminotransferase,1
30630,apolipoprotein_A,apolipoprotein_a,Biochemistry,Apolipoprotein A,1
30640,apolipoprotein_B,apolipoprotein_b,Biochemistry,Apolipoprotein B,1
30650,aspartate_aminotransferase,aspartate_aminotransferase,Biochemistry,Aspartate aminotransferase,1
30660,direct_bilirubin,direct_bilirubin,Biochemistry,Direct bilirubin,1
30670,urea,urea,Biochemistry,Urea,1
30680,calcium,calcium,Biochemistry,Calcium,1
30690,cholesterol,cholesterol,Biochemistry,Cholesterol,1
30700,creatinine,creatinine,Biochemistry,Creatinine,1
30710,c_reactive_protein,c_reactive_protein,Biochemistry,C reactive protein,1
30720,cystatin_c,cystatin_c,Biochemistry,Cystatin c,1
30730,gamma_glutamyltransferase,gamma_glutamyltransferase,Biochemistry,Gamma glutamyltransferase,1
30740,glucose,glucose,Biochemistry,Glucose,1
30750,glycated_haemoglobin _HbA1c,glycated_haemoglobin_hbA1c,Biochemistry,Glycated haemoglobin (HbA1c),1
30760,HDL_cholesterol,hdl_cholesterol,Biochemistry,HDL cholesterol,1
30770,IGF-1,igf1,Biochemistry,IGF 1,1
30780,LDL_direct,ldl_direct,Biochemistry,LDL direct,1
30790,lipoprotein_A,lipoprotein_a,Biochemistry,Lipoprotein A,1
30800,oestradiol,oestradiol,Biochemistry,Oestradiol,0
30810,phosphate,phosphate,Biochemistry,Phosphate,1
30820,rheumatoid_factor,rheumatoid_factor,Biochemistry,Rheumatoid factor,0
30830,SHBG,shbg,Biochemistry,SHBG,1
30840,total_bilirubin,total_bilirubin,Biochemistry,Total bilirubin,1
30850,testosterone,testosterone,Biochemistry,Testosterone,1
30860,total_protein,total_protein,Biochemistry,Total protein,1
30870,triglycerides,triglycerides,Biochemistry,Triglycerides,1
30880,urate,urate,Biochemistry,Urate,1
30890,vitamin_D,vitamin_d,Biochemistry,Vitamin D,1
